agent,timestep,mean,variance,std_dev,q1,q3,median,mad
3,0,0.0933012415396995,0.02362189183938198,0.15369415030957417,0.026620227377861738,0.0609722975641489,0.037587227299809456,0.015145368874073029
3,1,0.09286217270459235,0.020039251335059422,0.14156006264147888,0.0276905985083431,0.07725631655193865,0.03804609552025795,0.01720249652862549
3,2,0.09251328856663554,0.016327313767166615,0.12777837754161153,0.030262776650488377,0.09787713177502155,0.03899268930157025,0.020609381608664983
3,3,0.0927840076733781,0.014367487479230692,0.1198644546111594,0.03207026037853211,0.11353030276950449,0.04044807329773903,0.023906367365270853
3,4,0.09353297133489981,0.013178037743389465,0.11479563468786375,0.033266506157815456,0.11888681575655936,0.04292829297482967,0.02655739709734916
3,5,0.09335012621056983,0.012653727173984296,0.11248878688111227,0.033412468433380124,0.12063826406374573,0.0447412222623825,0.027946984767913817
3,6,0.09357916742582977,0.01279062097864914,0.11309562758413404,0.03346436396241188,0.12059938609600067,0.0446205522865057,0.02859746962785721
3,7,0.09407930649434268,0.013092308629649455,0.11442162658190738,0.03341409220010974,0.1233073642477393,0.043447844311594964,0.028269735455978662
3,8,0.09436532892056293,0.01330319218211723,0.11533946498106028,0.033640749379992486,0.12251670081168413,0.04270582050085068,0.027657725568860772
3,9,0.0938799241936595,0.013583309822833414,0.11654745738467834,0.033542601577937606,0.12039265084313229,0.04218621827021707,0.02661586948961485
3,10,0.09460595365023965,0.01409239713301672,0.11871140270848761,0.03366553708910942,0.12146225646138191,0.04173370701028034,0.027417033340316265
3,11,0.09512648816223307,0.014741347246364948,0.12141394996607659,0.033656989224255085,0.11952027063816785,0.041116705164313316,0.026560631068423393
3,12,0.09609254364900184,0.015427761860500063,0.12420854181778346,0.03343673381023109,0.11940397955477237,0.04080109037458897,0.026625778060406446
3,13,0.0969282308791068,0.016192161431426093,0.1272484240822891,0.033408834412693975,0.11861940082162618,0.040416233241558075,0.02561838096007705
3,14,0.09753607308129944,0.016786470256383364,0.12956261133669453,0.03342007584869862,0.11863707043230534,0.04013713374733925,0.025398750230669967
3,15,0.09771700096805085,0.01740265631957572,0.13191912795184677,0.033422600477933884,0.11564050428569317,0.03980763591825962,0.024475016538053753
3,16,0.09801870238223975,0.018058989922935333,0.13438374128939606,0.0333388090133667,0.1130656687077135,0.03963974229991436,0.023681291379034523
3,17,0.0975681301984566,0.018530756035036858,0.13612771956892858,0.03307495918124914,0.1080105135217309,0.039291656389832494,0.022679690178483723
3,18,0.09713158007347879,0.018957189838472437,0.137685111172096,0.03305517937988043,0.10458207614719868,0.03906675614416599,0.021325988136231898
3,19,0.09690893202756061,0.019298716151655772,0.13891981914635423,0.03295351844280958,0.10176964952261187,0.038926854357123376,0.019986250810325148
3,20,0.09671333087622443,0.019646815861466063,0.14016709978260256,0.03307238388806581,0.09712890498340129,0.038769805803895,0.01896950174123049
3,21,0.09645625750362749,0.019960443402297703,0.14128143332475682,0.033030800707638266,0.09376285709440707,0.03866220116615295,0.018088677269406616
3,22,0.09624569548818748,0.020249649197793637,0.14230126210892732,0.03292303960770368,0.09224614631384612,0.038548408821225164,0.01712192669510841
3,23,0.09590539755577569,0.020565140625750624,0.14340551114148517,0.03284376785159111,0.08709270879626274,0.038464121893048285,0.016483600065112118
3,24,0.0956962350655684,0.020791791220940915,0.14419358938919896,0.03270934894680977,0.0847363879904151,0.038382837921381,0.0152567908167839
