timestep,agent_2_vs_0_mean,agent_2_vs_0_variance,agent_2_vs_0_std_dev,agent_2_vs_0_q1,agent_2_vs_0_q3,agent_2_vs_1_mean,agent_2_vs_1_variance,agent_2_vs_1_std_dev,agent_2_vs_1_q1,agent_2_vs_1_q3,agent_2_vs_2_mean,agent_2_vs_2_variance,agent_2_vs_2_std_dev,agent_2_vs_2_q1,agent_2_vs_2_q3
0,-5.349029705131054,9.485437499925315,3.0798437460243524,-6.642729043960571,-3.243740975856781,-5.289604640984535,10.893159343944827,3.30047865376294,-6.444123029708862,-3.097943663597107,-7.077239891982079,17.965266487127554,4.238545326775161,-8.877672672271729,-4.114473223686218
1,-5.1743667847007515,6.7199347143454915,2.592283687088566,-6.363451421260834,-3.3408933877944946,-5.08186459889412,7.622450694249562,2.7608786091115203,-6.263088762760162,-3.1978882551193237,-6.916112432694435,12.765001652022233,3.5728142481833887,-8.681253582239151,-4.38924053311348
2,-5.014910879121224,5.28967873151042,2.299930157963589,-6.184171001116435,-3.3847426176071167,-4.911988551863034,5.944211836599748,2.438075437019894,-6.024913787841797,-3.2243567307790117,-6.764353629293044,9.975877990230758,3.158461332711034,-8.360394835472107,-4.503330608208975
3,-4.900000674964487,4.4636750061497485,2.112741111956159,-5.997782737016678,-3.3958705961704254,-4.788790591874719,5.035289079455276,2.2439449813788386,-5.8317935317754745,-3.2316504418849945,-6.637085409006477,8.3183154625851,2.884149001453479,-8.169036448001862,-4.5885695070028305
4,-4.789755820451975,3.912928012990582,1.9781122346799693,-5.81480256319046,-3.373174870014191,-4.687423056466579,4.452325752890918,2.110053495267577,-5.684811115264893,-3.223474359512329,-6.508157543530464,7.1527710556076025,2.674466499249449,-7.948609924316407,-4.61214473247528
5,-4.561088517842292,3.765366063439626,1.9404551176050495,-5.551637125015259,-3.206567668914795,-4.45360117035985,4.209415562469165,2.051686029213331,-5.405959248542786,-3.0373865127563477,-6.268361804001331,6.865772077133964,2.6202618336979158,-7.68911759853363,-4.3808540344238285
6,-4.3746733481431,3.6860709695685947,1.9199143130797778,-5.323861992359161,-3.0408593714237213,-4.268017391462326,4.075321202507471,2.018742480483202,-5.187206292152405,-2.8997338235378267,-6.055453160607815,6.714569251010593,2.591248589196064,-7.4361758708953865,-4.195918953418731
7,-4.2306699222803115,3.708914805544733,1.9258543053784554,-5.175514054298401,-2.893854743242264,-4.126398463991881,4.063566794721823,2.0158290589040093,-5.041692411899566,-2.7721461892127994,-5.8875556088340275,6.766318359929769,2.6012147854281022,-7.214400458335877,-4.051082444190978
8,-4.092435231711865,3.6569624711880584,1.9123186113166546,-5.009154629707337,-2.763207578659058,-3.9933255610144136,4.027455618325821,2.0068521665349,-4.894833183288575,-2.652274662256241,-5.740854778141975,6.82655970460875,2.6127685899460653,-7.087740778923035,-3.8962115347385406
9,-3.9919941870331765,3.6283356988736783,1.9048190724774041,-4.896263134479523,-2.6658833026885986,-3.87248350579381,3.861241061113197,1.9650040867930012,-4.755243623256683,-2.532814419269562,-5.638578100184202,7.045554230573718,2.6543462906285833,-6.955030632019043,-3.7664292454719543
10,-3.9205310090994834,3.644393405818453,1.9090294407940525,-4.8566316843032835,-2.5750587463378904,-3.7831642170917985,3.7321239385893845,1.9318705801863085,-4.676604390144348,-2.440264332294464,-5.548070146940947,7.228656840097606,2.6886161570773925,-6.862309002876282,-3.658333647251129
11,-3.8652874767649177,3.6888593310485973,1.9206403440125372,-4.763732743263244,-2.529365438222885,-3.721169848188162,3.7717605302279744,1.942102090578138,-4.583080184459686,-2.381148934364319,-5.48234138088584,7.389250424736856,2.718317572458534,-6.808589816093445,-3.5678680300712586
12,-3.8183053045082094,3.7399224894548215,1.9338879206031618,-4.685598707199096,-2.4833064556121824,-3.663351716864109,3.8345136455443862,1.9581914220893692,-4.499178028106689,-2.338654839992523,-5.418572960065603,7.471689299597438,2.733439097473627,-6.753867030143738,-3.4893566608428954
13,-3.787958370680809,3.8758190912257393,1.9687100068892167,-4.660885310173034,-2.4412963032722472,-3.6296223221600057,3.9756804176996354,1.9939108349421333,-4.444450211524964,-2.2929748713970186,-5.3681049637997145,7.635606893091952,2.7632601927961744,-6.704222738742828,-3.4293245553970335
14,-3.757017166298628,3.909650946598072,1.977283729412163,-4.604465878009796,-2.393644005060196,-3.599690836782455,4.048094133516971,2.011987607694682,-4.421951031684875,-2.263259309530258,-5.3262860889720915,7.615280305820468,2.759579733550105,-6.6472817242145545,-3.3930769562721252
15,-3.7198622885537143,3.954604533003463,1.9886187500381924,-4.543886554241181,-2.3792376637458803,-3.5646028168797494,4.079284551689499,2.0197238800612074,-4.387265563011169,-2.222495573759079,-5.28335189417243,7.555009940294584,2.7486378335995054,-6.591662514209748,-3.366529023647308
16,-3.6990124978125096,4.011616512242997,2.0029020226269174,-4.5287804126739495,-2.345314359664917,-3.5315653457200527,3.9323087226072153,1.9830049729154022,-4.342584848403931,-2.2041545152664184,-5.265549936248065,7.655744043249356,2.766901523952263,-6.581901717185974,-3.3107457995414733
17,-3.6795936907052993,4.002704775955435,2.0006760797179126,-4.508484089374543,-2.338805902004242,-3.5091430470681195,3.9069217967510124,1.9765934829273855,-4.326941275596619,-2.1791865825653076,-5.236351450468302,7.685288174781225,2.7722352307806104,-6.556905400753021,-3.2881153225898743
18,-3.661970746304989,3.9903765793931627,1.9975926960702381,-4.474300503730774,-2.324138730764389,-3.479149337092638,3.823214742893092,1.9553042583938418,-4.268798840045929,-2.1679663121700288,-5.223158364542722,7.6915444847936465,2.773363388521895,-6.493512105941772,-3.275968682765961
19,-3.6472378131663796,4.004879892906656,2.0012196013697885,-4.474277925491332,-2.3066460758447644,-3.456160121871829,3.788031623039514,1.9462866240714685,-4.243685483932495,-2.153285962343216,-5.1993127749657635,7.735883693747907,2.781345662399391,-6.465208387374878,-3.2157774925231934
20,-3.637118477766514,4.0055774107567474,2.001393866972902,-4.464908003807068,-2.2975626528263096,-3.438979177135826,3.7851366927896275,1.9455427758827684,-4.211813807487488,-2.1344707965850827,-5.195420031590461,7.887980979795978,2.8085549629295095,-6.496501016616821,-3.2048254251480106
21,-3.623020801371336,3.978538045372629,1.9946272948530082,-4.449091660976411,-2.2842856645584106,-3.428537753540873,3.778071497822542,1.9437261890046504,-4.217663025856018,-2.133088093996048,-5.170658458682298,7.8756534743952304,2.8063594699174286,-6.467202401161194,-3.198553717136383
22,-3.618817649730443,3.9898409007920637,1.99745861053291,-4.446573889255524,-2.2801433861255647,-3.422295602834821,3.807448956112989,1.9512685504852962,-4.206055974960327,-2.1233835935592653,-5.174985145431757,7.95473567697564,2.820414096719778,-6.483146274089814,-3.19021115899086
23,-3.615413415859938,3.9800852540706355,1.9950151012136814,-4.452254378795623,-2.2754916191101073,-3.4230298913627863,3.793535331958464,1.9477000107712852,-4.21493729352951,-2.1137076914310455,-5.1642772022664545,7.999620613615727,2.8283600572797885,-6.455658197402954,-3.178596222400665
24,-3.612894033633471,4.03326507777927,2.008299050883426,-4.443256306648254,-2.246158391237259,-3.4263578249824045,3.9453499370897154,1.9862904966519161,-4.198586702346802,-2.103550636768341,-5.163962850137949,8.017109880647924,2.8314501374115566,-6.469129037857056,-3.1734831571578983
