agent,timestep,mean,variance,std_dev,q1,q3
0,0,0.04606864494457841,0.011868211774820848,0.10894132262287276,0.002502802759408951,0.02998533472418785
0,1,0.041593558546109126,0.006807463489154692,0.08250735415194631,0.0032685897313058376,0.030187232419848442
0,2,0.03622839697447294,0.004410753746437258,0.06641350575325217,0.0036805258132517338,0.028844782151281834
0,3,0.03188462882658932,0.0030585770287758635,0.05530440333984143,0.0037441401509568095,0.027125004678964615
0,4,0.028246738036796448,0.002267917829816197,0.04762266088550909,0.0038670282810926437,0.024881264474242926
0,5,0.021021648683026434,0.001657775146372531,0.04071578497797299,0.0028229464776813986,0.01609076177701354
0,6,0.015522497821580617,0.0011737910716376628,0.03426063443133625,0.0023299023509025575,0.011383021157234907
0,7,0.011927947406414896,0.0008653476102923415,0.029416791298378236,0.0018902013078331947,0.008913792436942458
0,8,0.009618058127071708,0.0006261870475573495,0.025023729689184013,0.001715792715549469,0.007687649689614773
0,9,0.008253452701685019,0.0005152689006580767,0.022699535252028325,0.0015619564801454544,0.006768235750496387
0,10,0.007439385638930835,0.00040876706262866645,0.020217988590081518,0.0014371026307344436,0.006352403433993459
0,11,0.006856028138385155,0.0003695824435704632,0.019224527135158962,0.0013501424342393874,0.005839656619355082
0,12,0.006608523229160346,0.000372952040228427,0.01931196624449274,0.001283055543899536,0.005638409033417701
0,13,0.00650396077169571,0.00039206549447003727,0.019800643789282136,0.0012328967452049254,0.0054372712969779965
0,14,0.006270291755106299,0.00035878575013858653,0.01894164064009732,0.0011836670339107514,0.005171739566139877
0,15,0.006303395870644599,0.0004231722703259682,0.02057115140982556,0.0011402942240238188,0.005145691707730294
0,16,0.006160770140551031,0.00038226964025322004,0.01955171706662154,0.0011214904487133026,0.005066703725606203
0,17,0.006093249820191413,0.00038468440794910965,0.0196133731915015,0.0011178061366081237,0.005058086803182959
0,18,0.005917566050104796,0.00037405780677246547,0.01934057410658912,0.001084250211715698,0.005066612362861633
0,19,0.006007364786043763,0.00042722449806750654,0.0206694097174425,0.0010754123330116272,0.005008437391370535
0,20,0.005944646812826395,0.0004097114509210514,0.020241330265598934,0.0010506987571716308,0.004896488599479199
0,21,0.005913816842101515,0.0004451154934150412,0.02109776038860621,0.0010182276368141175,0.0049444035626947875
0,22,0.005930838682632894,0.00041589047215507044,0.02039339285540958,0.0009983211755752563,0.0048886208795011045
0,23,0.006000781321190298,0.00045685497149668423,0.021374165983651484,0.0009828925132751465,0.004920248501002788
0,24,0.006025241442061961,0.00043809054936154847,0.020930612732587367,0.0009873047471046447,0.004863260500133037
