timestep,agent_1_vs_0_mean,agent_1_vs_0_variance,agent_1_vs_0_std_dev,agent_1_vs_0_q1,agent_1_vs_0_q3,agent_1_vs_1_mean,agent_1_vs_1_variance,agent_1_vs_1_std_dev,agent_1_vs_1_q1,agent_1_vs_1_q3,agent_1_vs_2_mean,agent_1_vs_2_variance,agent_1_vs_2_std_dev,agent_1_vs_2_q1,agent_1_vs_2_q3
0,-5.254714628565312,7.583959936071786,2.7538990424617578,-6.53020167350769,-3.321240782737732,-6.777407529306411,17.695059149200127,4.206549553874306,-8.55812382698059,-3.909555494785309,-5.388645720529556,10.872848566027734,3.29740027385632,-6.5731199979782104,-3.2505341172218323
1,-5.097525945419073,5.529882263261989,2.351570169750839,-6.2953755259513855,-3.4159097373485565,-6.666458148750663,12.437400533892001,3.5266698929573774,-8.322560369968414,-4.194821774959564,-5.176898675209284,7.234658359994988,2.6897320238259774,-6.364122748374939,-3.347436308860779
2,-4.968415762126446,4.452439434170814,2.1100804331045806,-6.067903816699982,-3.4616754849751787,-6.553119712891181,9.737124735077073,3.120436625710747,-8.089247584342957,-4.357429424921672,-5.033039278054237,5.775044922746967,2.403132314864699,-6.162651936213176,-3.363862156867981
3,-4.864573338362574,3.8399239939268286,1.959572400787179,-5.908047407865524,-3.4826573580503464,-6.4417684499666095,8.065218673701317,2.8399328642947386,-7.877659231424332,-4.438081681728363,-4.916284759142995,4.894221581870607,2.2122887654803582,-5.980578884482384,-3.374718800187111
4,-4.778237128579616,3.4988186657863176,1.870512941892228,-5.729488706588745,-3.459362554550171,-6.350396711701155,7.018013600513703,2.6491533742903037,-7.751299738883972,-4.4456912755966185,-4.814550109450817,4.344417455882991,2.0843266192905063,-5.83895605802536,-3.371246391534805
5,-4.588181141598225,3.537639450019835,1.8808613585322644,-5.523071873188019,-3.2780294120311737,-6.146501404784918,6.778971503601986,2.6036458099369018,-7.545331633090973,-4.24536942243576,-4.590077219059467,4.165457531982875,2.0409452545286153,-5.567317581176758,-3.1882900953292843
6,-4.448768668868542,3.71250521067728,1.926786238968215,-5.392301177978515,-3.1288271784782413,-5.973852002310753,6.756933983987666,2.5994103146651675,-7.376198399066926,-4.12019499540329,-4.443601023969651,4.321851753369787,2.078906383984086,-5.373305988311768,-3.032052630186081
7,-4.328168760995865,3.83098784306578,1.9572909449199882,-5.2492755651474,-2.9936819911003116,-5.824677503061294,6.855955943717767,2.618388042998548,-7.229345035552979,-3.938788080215454,-4.3178780265975005,4.454787191940372,2.110636679284327,-5.220930123329162,-2.8953446805477143
8,-4.226475944421292,3.868721827572951,1.9669066646826308,-5.145037746429443,-2.895819699764252,-5.7155457561302185,7.067802014071794,2.6585338090894752,-7.1073884844779975,-3.848300665616989,-4.212516408580542,4.548385227866214,2.1326943587551908,-5.101437711715699,-2.79637787938118
9,-4.131542228748798,3.915915189401523,1.9788671479918816,-5.037715435028076,-2.8069745659828187,-5.601138126273155,7.027586776802056,2.6509595954676595,-6.965933132171632,-3.713175058364868,-4.120686186006069,4.559729069858847,2.1353522121324264,-4.983364748954773,-2.7191636204719543
