agent,timestep,mean,variance,std_dev,q1,q3,median,mad,diff_mean,diff_std
2,0,0.02434026449918747,0.0,0.0,0.02434026449918747,0.02434026449918747,0.02434026449918747,0.0,0.0,0.0
2,1,0.028235566716641188,2.8559890413699855e-06,0.0016899671716841087,0.028413794934749603,0.028413794934749603,0.028413794934749603,0.0,0.003895302217453718,0.0016899671716841087
2,2,0.032525040807823334,0.00023787627041135293,0.015423238000217495,0.03060302883386612,0.03060302883386612,0.03060302883386612,0.0,0.004289474091182152,0.015236204072043496
2,3,0.0333100086803548,0.00011472688961819211,0.010711063888250882,0.03258402459323406,0.03258402459323406,0.03258402459323406,0.0,0.000784967872531464,0.005399570527174911
2,4,0.02705892131187022,7.301694183507854e-05,0.00854499513370713,0.026378367841243745,0.026378367841243745,0.026378367841243745,0.0,-0.006251087368484587,0.002268068403223564
2,5,0.022427104850746688,7.303863412079086e-05,0.008546264337170414,0.021625804901123046,0.021625804901123046,0.021625804901123046,0.0,-0.004631816461123528,0.0004027041667469157
2,6,0.017759647533781828,0.00011398330187371455,0.010676296261986858,0.01582857668399811,0.015893617272377016,0.01582857668399811,0.0,-0.004667457316964864,0.006590385769035702
2,7,0.010277195228859781,8.354709545697883e-05,0.009140410026742719,0.008943141996860504,0.009167355298995972,0.008943141996860504,0.0,-0.007482452304922046,0.010893880374429128
2,8,0.004930523985400797,0.00010186099813505228,0.010092620974506685,0.002891502529382706,0.0034645576030015945,0.002891502529382706,0.0,-0.0053466712434589855,0.00476197962756311
2,9,0.005179007854051888,0.00010825312501655904,0.01040447620097038,0.002652541548013687,0.004156196676194668,0.002652541548013687,0.0,0.0002484838686510919,0.0022632063062350922
2,10,0.005259949477426708,0.00011024370740028468,0.010499700348118734,0.00254998579621315,0.00428706556558609,0.00254998579621315,0.0001356862485408783,8.094162337481976e-05,0.001062779916590284
2,11,0.00441213187366724,6.432307157748614e-05,0.008020166555470413,0.0024050019681453707,0.004183370433747768,0.0024050019681453707,0.0003437049686908721,-0.0008478176037594674,0.006654952372918594
2,12,0.004281190516166389,3.2060278862504595e-05,0.0056621796918240415,0.0028146766126155853,0.00437261201441288,0.0028146766126155853,0.00038139522075653076,-0.00013094135750085125,0.0059552894491031565
2,13,0.0034742848045378923,1.806035681389585e-05,0.004249747852978557,0.0013121187686920166,0.004335835110396147,0.0020721912384033202,0.0007600724697113036,-0.0008069057116284966,0.004900790313122991
2,14,0.00349236092466861,1.6818084697214524e-05,0.004100985820167454,0.0016864895820617675,0.0040431000292301175,0.002057313919067383,0.0006053686141967774,1.8076120130717695e-05,0.0028943721333127112
2,15,0.005109871058706195,1.9226131185317795e-05,0.004384761246101981,0.0035233497619628906,0.005266880244016647,0.004189980030059814,0.0008220314979553219,0.001617510134037584,0.002660425336882211
2,16,0.005264074167981744,1.95940626256941e-05,0.004426518115369472,0.0033812783658504486,0.0054031707346439365,0.005081367492675781,0.0011516332626342772,0.00015420310927554968,0.0021715742444761385
2,17,0.006524158960171045,2.4242969952046083e-05,0.004923715055935516,0.004045331478118896,0.0070891261100769045,0.006432682275772095,0.0015843212604522705,0.0012600847921893001,0.002988494285550996
2,18,0.006284749531857669,2.3669645028589457e-05,0.00486514594113984,0.0035809040069580077,0.0072584390640258786,0.005940210819244385,0.0015503644943237306,-0.00023940942831337462,0.0030815242442445443
2,19,0.00734259091284126,3.227572915258827e-05,0.005681173219730962,0.00416492223739624,0.00856078863143921,0.00682721734046936,0.0019797861576080324,0.0010578413809835911,0.0038957937783933713
2,20,0.005889492180105298,2.5568934300637175e-05,0.005056573375383489,0.0033914327621459963,0.00634547472000122,0.0054988089948892595,0.0015949491411447528,-0.0014530987327359619,0.002726129332622006
2,21,0.006345002422295511,3.456789251234124e-05,0.00587944661616561,0.003747043013572693,0.006853650510311127,0.005075216293334961,0.001482313871383667,0.000455510242190212,0.0033522361856864885
2,22,0.004910271623879671,2.910241775928043e-05,0.005394665676321419,0.002561962604522705,0.005527132749557495,0.0035103589296340944,0.0011850744485855103,-0.00143473079841584,0.002646638184038997
2,23,0.0062210719923302535,3.3376821817174e-05,0.005777267677472976,0.0034518346190452577,0.006819245219230652,0.0052904486656188965,0.00170816108584404,0.0013108003684505819,0.0036973425166919234
2,24,0.0049758247883617875,2.0798129898849706e-05,0.00456049667238665,0.0025799810886383058,0.005547738075256348,0.004334741830825805,0.0015500247478485104,-0.0012452472039684655,0.003508659504854203
