agent,timestep,mean,variance,std_dev,q1,q3
2,0,0.03974427559575997,0.010945888518764988,0.10462260042058306,0.002149537205696106,0.02810099581256509
2,1,0.03403262129859067,0.005224559839990399,0.07228111675943033,0.0027553942054510117,0.026969075435772538
2,2,0.030390539057552814,0.003370865132160942,0.05805915201035012,0.003026085440069437,0.024744444992393255
2,3,0.026649836681294253,0.0023619840362590454,0.048600247285986574,0.003211054136045277,0.022326113539747894
2,4,0.02395034456241876,0.0017957782181268322,0.042376623486620926,0.0032827358692884443,0.020094494335353374
2,5,0.01818790521147661,0.0012803086720266446,0.03578140120267294,0.002367953211069107,0.014599944651126863
2,6,0.014324489115569742,0.0009997813253474596,0.03161931886280063,0.0019345650449395179,0.011096567660570145
2,7,0.011415386767387391,0.0007534388596312218,0.027448840770262446,0.001730598509311676,0.008860408514738082
2,8,0.009878060924690218,0.0006579535164255051,0.025650604601558713,0.0015713986009359359,0.007249991362914442
2,9,0.00874281270077452,0.0005765086645318218,0.024010594839191757,0.001448696106672287,0.006408056477084756
2,10,0.008289582039378584,0.0006099513071853897,0.024697192293566282,0.001354685053229332,0.005971943866461516
2,11,0.00817373317738995,0.0006954602265054781,0.026371579901581135,0.0012899653986096383,0.005767694674432278
2,12,0.008042531292643398,0.0006902961375332857,0.02627348735005092,0.001234256476163864,0.005408419668674469
2,13,0.008172731767855585,0.0007030126456470636,0.026514385635859332,0.001177499070763588,0.005420372728258372
2,14,0.008540522435493768,0.0008397906526287583,0.02897914168205743,0.001146849989891052,0.005447377450764179
2,15,0.008726379833221436,0.0009592192563204318,0.030971265010012617,0.0011275961995124816,0.00543278967961669
2,16,0.008801786161269993,0.0010646897401031267,0.03262958381749799,0.0010939151048660277,0.005412549432367087
2,17,0.009179496685918422,0.0012345268193979994,0.03513583383666879,0.0010637544095516206,0.005433164350688457
2,18,0.009410143958926202,0.0013031498273831717,0.03609916657463399,0.0010513782501220704,0.005400383565574884
2,19,0.009310461516194045,0.0012743007911783354,0.03569734991814288,0.001022462546825409,0.005328621296212077
2,20,0.009293885415196419,0.0012653768001719685,0.035572135164647745,0.0010279372334480285,0.005325856758281589
2,21,0.009510896188504994,0.00134393045970059,0.03665965711378913,0.0010105814784765244,0.005203999578952789
2,22,0.00951267896125093,0.0013112957670426697,0.036211818057682074,0.0009928442537784576,0.005375973507761955
2,23,0.009611624856274575,0.0013719527784074542,0.03703988091783577,0.0009944476187229156,0.0054180859588086605
2,24,0.009775882435245438,0.0014718005417012378,0.038364052727797644,0.0009730778634548186,0.0055243617855012415
