agent,timestep,mean,variance,std_dev,q1,q3,median,mad
0,0,0.0321814068697393,0.0042062863224602495,0.06485588888034956,0.003963757306337357,0.03828257694840431,0.02481599897146225,0.015955129638314247
0,1,0.026847737781424075,0.0019909321752254274,0.044619863012176846,0.006079429294914007,0.03406707430258393,0.01834402931854129,0.013232710771262646
0,2,0.02298308264681449,0.0011720001483177262,0.03423448770345083,0.006364803295582533,0.026862948822478454,0.01510801228384177,0.009856439816455047
0,3,0.0202955340184737,0.0008086217396019473,0.02843627506552058,0.006352005177177489,0.02313728292938322,0.01392673421651125,0.008194773457944393
0,4,0.018417146105747673,0.0006056834729567788,0.024610637394362193,0.006318259332329035,0.021352614276111126,0.01309059765189886,0.007388834469020366
0,5,0.013938484419044108,0.000387878126960924,0.019694621777554502,0.004483404755592346,0.016792014986276627,0.009874874353408815,0.005875119194388391
0,6,0.011407981386166065,0.00027132551985487437,0.016471961627410207,0.003763996250927448,0.014359935652464628,0.008203471079468727,0.004927117563784123
0,7,0.010054497024491429,0.0002338047203491014,0.015290674293473831,0.003311402350664139,0.0127283432520926,0.006987646408379077,0.004248328506946564
0,8,0.009273670161236078,0.00020947975768195918,0.014473415549964673,0.0030196482315659524,0.01204639980569482,0.006316878646612167,0.0038953803479671485
0,9,0.008621821021754295,0.00016503011805892934,0.012846404869025782,0.0028410684317350388,0.011381162330508232,0.005839317478239537,0.003581265546381474
0,10,0.008191113548316063,0.00014448841973306427,0.01202033359491592,0.0026381896808743478,0.010740087367594242,0.005509082600474358,0.003397595509886742
0,11,0.007900501556675881,0.00014480022107143858,0.012033296351018642,0.0024536106735467914,0.010401615221053363,0.005070412531495094,0.003171202167868614
0,12,0.007686827195491642,0.0001479988398531984,0.01216547737876317,0.0023167237639427182,0.009905726835131645,0.004702461510896682,0.0029544480144977564
0,13,0.007445266457069664,0.00014877018846694745,0.012197138536023416,0.002135414630174637,0.009598130453377962,0.004376409575343132,0.00274323895573616
0,14,0.0073702155402489014,0.00018353217094610718,0.013547404583391875,0.0020013615489006043,0.009069270733743905,0.004143934510648251,0.0026115760207176203
0,15,0.007250336898807436,0.00021370212595697436,0.01461855416780245,0.001883995532989502,0.008821286074817181,0.003870154917240143,0.002444419264793396
0,16,0.007156501297652721,0.00023751389976720816,0.01541148596882235,0.0018118828535079955,0.008474288322031499,0.00367061160504818,0.0023210819810628894
0,17,0.007025755852442235,0.00024884540196357395,0.015774834451225597,0.001748986542224884,0.008232723455876112,0.0035114755854010584,0.002210269309580326
0,18,0.006977041877564042,0.00028859771036960675,0.016988163831609546,0.001701109856367111,0.007993393205106258,0.003441550210118294,0.0021740604192018514
0,19,0.006885748203564435,0.00030280540558884106,0.017401304709384325,0.001643979549407959,0.007896833866834641,0.0033373055979609486,0.0021054953336715697
0,20,0.006795294902995229,0.00031369172685404847,0.017711344580636685,0.0015982620418071747,0.007810219656676054,0.003303322196006775,0.002094750478863716
0,21,0.006728387827873231,0.00031565010626971726,0.01776654457877832,0.0015897437930107118,0.007821079343557358,0.0033188082277774813,0.0021044530905783175
0,22,0.006757805693540722,0.0003609914112770244,0.01899977397962998,0.0015570849180221557,0.0076664799824357035,0.003275102376937866,0.002082503959536552
0,23,0.0067379575003497305,0.0003666659708685314,0.019148523986681883,0.0015550650656223296,0.007732275687158108,0.0032798700034618374,0.0020923070609569546
0,24,0.006771728711370379,0.00036670430172310253,0.019149524843272286,0.0015498477965593337,0.007707570306956768,0.00323285236954689,0.0020753726363182067
