agent,timestep,mean,variance,std_dev,q1,q3,median,mad
0,0,0.0022819559961557386,1.638952181693929e-09,4.0483974381153947e-05,0.00225212424993515,0.002311110496520996,0.0022796690464019775,2.917647361755371e-05
0,1,0.0013224748894572259,5.193936287159473e-10,2.2790209053800875e-05,0.001306384801864624,0.001338232308626175,0.0013216659426689148,1.5847384929656982e-05
0,2,0.005094021563977003,1.543752069316997e-08,0.0001242478196716947,0.005103995402654013,0.005153384059667587,0.0051301028579473495,2.4438525239626422e-05
0,3,0.004486779303662479,1.9607069791175428e-07,0.00044279871037724834,0.004212563391774893,0.005067258607596159,0.004251886159181595,6.68712891638279e-05
0,4,0.010116396880000829,1.5224465118484925e-06,0.0012338745932421547,0.010261381790041922,0.010712663643062115,0.010525408014655114,0.0002150230109691613
0,5,0.010386021360605955,1.7517106237678398e-06,0.0013235220526186331,0.010504849813878536,0.011049539595842362,0.010816970467567445,0.0002646181732416158
0,6,0.02489497551962733,1.9019419841291588e-06,0.001379109126983488,0.02504490092396736,0.025576290860772136,0.025351670756936073,0.0002540282905101783
0,7,0.0273741548243165,1.82895762796592e-06,0.0013523895991784025,0.027442869544029237,0.028097806498408318,0.027756893262267112,0.00032813251018524135
0,8,0.03185870618700981,1.7450462347962229e-06,0.0013210019813748284,0.031480661034584044,0.03275212347507477,0.03236565589904785,0.0005761325359344496
0,9,0.027198006041049962,4.221509298356193e-07,0.0006497314290040304,0.02650327980518341,0.02765309512615204,0.027485162019729614,0.00024174451828003034
0,10,0.02772025242567062,8.04006532267012e-08,0.0002835500894492915,0.027548718452453613,0.027901479601860048,0.02766640782356262,0.0001533508300781243
0,11,0.017060258026123046,6.492096977058332e-07,0.0008057355010832234,0.01670682430267334,0.017615738511085513,0.01705062985420227,0.0004282057285308824
0,12,0.01283847331494093,1.4157338243871056e-06,0.0011898461347531898,0.0123908132314682,0.013297709822654723,0.012990915775299074,0.0003882944583892805
0,13,0.009061508231908082,3.5100519455617075e-06,0.0018735132627130525,0.007897076010704041,0.010337677597999573,0.008271706104278565,0.0005364418029785156
0,14,0.010765856391564013,4.546206553979097e-06,0.002132183517894062,0.00909593403339386,0.0122374027967453,0.010237100720405578,0.001366060972213745
0,15,0.011177510167583823,8.091475956981897e-06,0.0028445519782527963,0.009446600079536438,0.013048594444990158,0.010219436883926392,0.002024996280670166
0,16,0.17528631673775613,0.049090488321303506,0.2215637342195322,0.022404249012470245,0.2315958734601736,0.03420885056257248,0.020504127442836764
0,17,0.5936232152616232,0.07562842909570162,0.2750062346487832,0.4069824263453483,0.6147196002304554,0.6003434807062149,0.15320657789707184
0,18,1.0807853571373969,0.11921277131667728,0.34527202510003224,0.8993297897279262,1.1995670206844806,1.0706114977598191,0.13521054834127433
0,19,1.5167819126917421,0.2180580173113773,0.4669668267782812,1.3297141760587692,1.7623053908348083,1.577101281285286,0.21872560083866133
0,20,1.9246127463069558,0.33951436682161973,0.5826786136641877,1.7514195799827577,2.2551992774009704,1.9731334626674653,0.2548731833696366
0,21,2.235953245481551,0.48286243586373384,0.6948830375420988,2.1233645170927047,2.6797602236270905,2.47351758480072,0.25278359353542346
0,22,2.2486821331569553,0.6132302874824687,0.7830902166943913,1.7966103315353394,2.8106048226356504,2.5565570235252384,0.369900894165039
0,23,2.158631976481676,0.7891034774877705,0.8883149652503726,1.5615038961172103,2.9389944434165955,2.3086413145065308,0.6697038054466248
0,24,1.9537440669271349,0.7948165004757386,0.8915248176443203,1.3501500695943833,2.7859618067741394,1.9736888110637665,0.7360054194927215
0,25,1.6714271125271916,0.7733917771783358,0.879426959547145,0.9774948567152024,2.5007838904857635,1.6042548298835755,0.754425060749054
0,26,1.2640658891797063,0.6012405088179612,0.7753970007795756,0.6605584233999253,1.931952840089798,1.1403215825557709,0.6023109555244446
0,27,0.8713558834254742,0.3529358972601498,0.5940840826517318,0.3325133457779884,1.3417656466364862,0.7816557839512825,0.501984041929245
0,28,0.4850001978313923,0.1361432949279604,0.36897600860755214,0.143936687707901,0.747454808652401,0.46600405871868134,0.2952528536319733
0,29,0.254514409243688,0.06716881474726061,0.25916947109422556,0.023266752064228055,0.4583733558654785,0.12323721945285797,0.10904211699962615
0,30,0.13312871886722744,0.033206304646749306,0.1822259713837446,0.014666837453842164,0.22103564143180848,0.04008272886276246,0.027492100000381475
0,31,0.06865362509913743,0.018473136844953383,0.13591591829124866,0.010021372139453887,0.054526022076606756,0.016452375054359435,0.008728080987930296
0,32,0.047944503145068894,0.025488140830043235,0.1596500574069525,0.00827714502811432,0.021716348826885223,0.012245991826057434,0.006208848953247069
0,33,0.07115634743526578,0.04368677159866817,0.20901380719624282,0.006217952072620392,0.022964507341384888,0.01062168776988983,0.006533721089363096
0,34,0.1411179460453242,0.08345853862297097,0.2888919151221975,0.007427698373794556,0.16137815117836,0.015973633527755736,0.011378276348114013
0,35,0.23013315969608725,0.14168015041357013,0.3764042380388007,0.008053681254386902,0.33164128512144087,0.023897409439086914,0.02061924934387207
0,36,0.3272736030227691,0.20100114882207784,0.4483315166504334,0.00900389552116394,0.5459884583950043,0.07821343541145326,0.07522517442703247
