timestep,mean,variance,std_dev,q1,q3
0,10.072913397028712,21.16937243344932,4.601018629982856,6.899571061134338,12.265287160873413
1,9.38355188492934,18.526440831559285,4.3042352202870235,6.365431547164917,11.436812400817871
2,8.865243456376923,16.907751044092166,4.111903579133656,5.981362700462341,10.813340663909912
3,8.463169714755482,15.90634986069154,3.9882765526843222,5.6890175342559814,10.31808614730835
4,8.175385418477322,15.480433461967436,3.9345181994708622,5.468169093132019,9.963208436965942
5,7.933226636571354,15.091207774234194,3.8847403741092137,5.272529602050781,9.661706924438477
6,7.70262817188104,14.433255842157461,3.7991125071728873,5.105435013771057,9.359392404556274
7,7.505178825313515,13.73776350393302,3.706448907503383,4.95711362361908,9.171499729156494
8,7.3748671570910345,13.583050748653784,3.6855190609538004,4.878325462341309,8.962456464767456
9,7.236432125617398,13.122997027073612,3.6225677394734266,4.7577396631240845,8.802467584609985
10,7.159977167359988,13.255787576367135,3.6408498426009186,4.7067039012908936,8.688095808029175
11,7.048455989864137,12.633883471732558,3.554417458843651,4.638688683509827,8.552470684051514
12,7.0301925801740754,12.572777096472562,3.545811204290573,4.618237614631653,8.542109727859497
13,6.9528434369047485,12.24818090495905,3.499740119631606,4.565035104751587,8.470768213272095
14,6.91934707692994,11.90106528847065,3.4497920645265925,4.554134845733643,8.410417079925537
15,6.866569496848848,11.634092217205374,3.4108785110591926,4.521729826927185,8.389760255813599
16,6.837590220477846,11.524267251845314,3.3947411170581643,4.504688858985901,8.346261978149414
17,6.813924428329202,11.504564551274935,3.3918379311628284,4.486732602119446,8.298869609832764
18,6.806617607169681,11.431659516882458,3.3810737224855743,4.489703416824341,8.287147045135498
19,6.7815714056796494,11.347384944665453,3.368587974903647,4.46903669834137,8.282232999801636
20,6.773909120534526,11.43880998457373,3.382130982764229,4.4658448696136475,8.245091438293457
21,6.759244699621201,11.285690519448757,3.3594181816869355,4.451480865478516,8.235216856002808
22,6.761899625171555,11.369859626577684,3.3719222450373443,4.4654154777526855,8.226933479309082
23,6.741908949952656,11.323710182778502,3.36507209176542,4.453550696372986,8.210838556289673
24,6.722150418243143,11.151411993138694,3.339372994012303,4.457330226898193,8.170863628387451
