timestep,agent_0_vs_0_mean,agent_0_vs_0_variance,agent_0_vs_0_std_dev,agent_0_vs_0_q1,agent_0_vs_0_q3,agent_0_vs_1_mean,agent_0_vs_1_variance,agent_0_vs_1_std_dev,agent_0_vs_1_q1,agent_0_vs_1_q3,agent_0_vs_2_mean,agent_0_vs_2_variance,agent_0_vs_2_std_dev,agent_0_vs_2_q1,agent_0_vs_2_q3
10,0.00024246118721785024,0.000773398105039689,0.027810036048874318,-0.02203648341819644,0.022477721236646174,8.685210938936507e-05,8.31756600033999e-05,0.00912006907887215,-0.006417499470990151,0.006641012505860999,-1.5348393197637047e-05,6.420541643181901e-05,0.008012828241752035,-0.00550488768494688,0.005500634084455669
11,0.00028565821412717925,0.0008030826764553572,0.02833871338743799,-0.02253365437500179,0.022943245153874157,9.230803530350387e-05,8.448420717484462e-05,0.009191529098841205,-0.006568544439505785,0.006685296935029328,1.2264763280400071e-05,6.438746547230017e-05,0.00802418004984311,-0.00549910714616999,0.005542097915895283
12,0.00028416906611237206,0.0008281967479175163,0.028778407668207016,-0.023081423621624707,0.0232716959901154,8.785191173250495e-05,8.560898609371108e-05,0.00925251242061912,-0.006634572328766808,0.006696885940618813,2.9890193029423212e-05,6.462913820083731e-05,0.008039224975135185,-0.0054909749655053025,0.005544289259705693
13,0.0002719547096540918,0.0008457411841997881,0.02908162966891278,-0.023431272897869348,0.02383460886776447,7.887573396139487e-05,8.630755134102084e-05,0.009290185753849104,-0.006634707259945571,0.0067257311195135115,5.154894476872871e-05,6.484084619443776e-05,0.008052381398967499,-0.00545184281654656,0.00558838156866841
14,0.0002566436666145455,0.0008564168785298692,0.029264601116876156,-0.023528900835663082,0.024163552420213816,7.031613326478692e-05,8.677199445070767e-05,0.009315148654246354,-0.0066427180077880624,0.006765490549150854,6.693379767151783e-05,6.512744970077417e-05,0.008070157972479484,-0.005393490963615477,0.005520565959159285
15,0.0002227106641209685,0.0008632179692703984,0.029380571289040626,-0.023707326874136927,0.02429314984474331,5.7721649994055025e-05,8.70992291808681e-05,0.009332696779648856,-0.006709382985718548,0.006784092751331627,7.71764354853076e-05,6.540673351411665e-05,0.0080874429527581,-0.005441338929813355,0.005587022844702006
16,0.00016080599614244414,0.0008681037119128162,0.02946359977858809,-0.023936038836836815,0.024290119484066963,4.3671035411534845e-05,8.747440001301251e-05,0.009352774989970223,-0.006702753412537277,0.006748930341564119,6.817282536794666e-05,6.556865612892919e-05,0.00809744750701906,-0.005375573819037527,0.005581793549936265
17,0.00014650868427881512,0.0008729238830189356,0.029545285292562933,-0.024012711364775896,0.02424239134415984,1.9867858134530243e-05,8.7726284677648e-05,0.009366231081798484,-0.006721095833927393,0.006795631186105311,6.236475707468344e-05,6.545592773997756e-05,0.008090483776633977,-0.005398569500539452,0.005638284597080201
18,0.00012934796726854985,0.0008771139843760116,0.02961611021683995,-0.024011514429003,0.024601810611784458,8.842971670819634e-06,8.803167647857614e-05,0.009382519729719525,-0.006695075810421258,0.006793280236888677,6.453527573059547e-05,6.53196443872434e-05,0.008082056940361371,-0.005474396259523928,0.005523800605442375
19,0.00011798635546758303,0.0008810219566282477,0.029682014025807744,-0.024074752256274222,0.024723960738629105,-6.896221896895416e-06,8.840393322868194e-05,0.00940233658346062,-0.006689394463319331,0.006812071881722659,7.265379372285676e-05,6.509484820542946e-05,0.008068137840011749,-0.005451080936472863,0.005575238284654916
20,0.00013161388932494446,0.0008843000838905748,0.029737183523168006,-0.023849800135940312,0.024921282101422547,-2.05465219706821e-05,8.867523326100631e-05,0.009416752798125599,-0.006757165340241044,0.006817852554377168,8.682614093180743e-05,6.493156517992934e-05,0.008058012483232409,-0.005450503679458051,0.005561121989740059
21,0.0001717756530287443,0.0008863493916118084,0.029771620574161033,-0.024041838105767967,0.02487636627629399,-2.6285539794189416e-05,8.89275932773016e-05,0.009430142802593267,-0.0067907070042565465,0.00681161911925301,0.00011642788817902328,6.473909977942354e-05,0.008046061134457253,-0.0053503454430028794,0.005560962203890085
22,0.00016741063881549047,0.0008874041872326477,0.02978933009036369,-0.024211240746080873,0.024884379375725983,-1.5314473946928073e-05,8.933136619257023e-05,0.009451527188373858,-0.006853707833215594,0.006768896081484854,0.00013328429380228042,6.478653336891011e-05,0.008049008222688689,-0.005295044532977045,0.005614553712075577
23,0.00019298759207362308,0.0008889170075467895,0.02981471126049671,-0.02430998710915446,0.024875492416322233,-2.3408337886503428e-05,8.958812827814544e-05,0.009465100542421378,-0.006861044396646321,0.006812768010422588,0.00013972089670278364,6.467858911646487e-05,0.008042299989211101,-0.005260572850238532,0.005585411400534213
24,0.00020521631399402396,0.000890035989611874,0.029833470961520284,-0.02453246647492051,0.02481382666155696,-3.366732252135985e-05,8.986273284680982e-05,0.009479595605657967,-0.006869015994016081,0.006741910683922469,0.00014427333048573933,6.464057991201457e-05,0.008039936561442172,-0.005268541653640569,0.0055974157294258475
