timestep,agent_2_vs_0_mean,agent_2_vs_0_variance,agent_2_vs_0_std_dev,agent_2_vs_0_q1,agent_2_vs_0_q3,agent_2_vs_1_mean,agent_2_vs_1_variance,agent_2_vs_1_std_dev,agent_2_vs_1_q1,agent_2_vs_1_q3,agent_2_vs_2_mean,agent_2_vs_2_variance,agent_2_vs_2_std_dev,agent_2_vs_2_q1,agent_2_vs_2_q3
0,4.943051876034587e-06,0.0001613921888457073,0.012704022545859532,-0.009080323157832026,0.009210332529619336,-4.3568676366703585e-05,5.897758091888571e-05,0.007679686251331216,-0.0054083861177787185,0.005306484643369913,-3.7305863259825856e-05,0.0001821075394191749,0.013494722650694785,-0.009855415672063828,0.009824978653341532
1,-2.8004446675186044e-05,0.00015206667166838935,0.012331531602700022,-0.008794457418844104,0.008733649970963597,-5.891239216998656e-05,5.685716855171523e-05,0.007540369258313231,-0.005293460038956255,0.005249092297162861,-6.434835026302608e-05,0.00017191957553021147,0.0131118105359333,-0.009512052056379616,0.009495917533058673
2,-2.8414720555398777e-05,0.00014633950123252505,0.012097086477021029,-0.008536056401984146,0.008553941346084077,-6.250029504238527e-05,5.546833032769372e-05,0.007447706380335742,-0.0051312309224158525,0.005110690525422494,-8.12446481451237e-05,0.00016597850185323128,0.012883264409815987,-0.009298400177309912,0.009206193344046673
3,-2.2153303324375883e-05,0.00014221721248919102,0.011925485838706573,-0.008254385582404211,0.008408904017414898,-6.737163094539938e-05,5.4577077338619154e-05,0.007387630021774179,-0.005136431711434852,0.005025199578085449,-0.00010944413469624124,0.00016285835099588434,0.012761596725954175,-0.009229134710039943,0.008974106836831197
4,-1.791219375998483e-05,0.0001389152005519576,0.011786229276234092,-0.008070467179641128,0.008319612033665179,-7.214047058820146e-05,5.3435455314350465e-05,0.00730995590372134,-0.005060390682774595,0.004881818918511272,-0.00012588754880445778,0.0001598781330396823,0.012644292508467301,-0.009088970441371202,0.008837170596234501
5,-1.177802199119471e-05,0.0001378224136793427,0.011739779115440916,-0.008041583350859582,0.008202298148535191,-8.443497761938486e-05,5.4510442234008106e-05,0.007383118733571072,-0.0051036401069723064,0.004935587767977268,-0.00014366124097636203,0.0001606940914950047,0.012676517325156966,-0.009104720642790198,0.008777276892215012
6,1.6814721650152964e-05,0.00013753194503205585,0.011727401461195735,-0.00806902798358351,0.008211536007001995,-8.761815058292997e-05,5.490606757476264e-05,0.007409862858026634,-0.005111656757071615,0.00499711730517447,-0.00014516382775822418,0.00016040820412698925,0.012665236047030045,-0.009039237233810126,0.008773127081803979
7,3.767590577277586e-05,0.00013894336855826807,0.011787424169778063,-0.008076976391021163,0.008204938657581805,-9.441394714151103e-05,5.511760431645146e-05,0.007424123134515716,-0.005224935826845467,0.005005989561323076,-0.0001288540096228826,0.00016133138040536613,0.012701629045337694,-0.008992056502029298,0.008889732626266777
8,5.011718433379433e-05,0.0001418057780196177,0.01190822312604268,-0.00808607186190784,0.008294999424833804,-9.043700621499735e-05,5.4951070705578385e-05,0.007412898940736909,-0.005188271612860262,0.005140444959397428,-8.752596172533233e-05,0.00016243110521327106,0.012744846221640772,-0.009005879913456739,0.008845450915396213
9,5.915810803737258e-05,0.00014539267443481005,0.012057888473311157,-0.00819279970601201,0.008492440381087362,-8.431953270322989e-05,5.464170246925126e-05,0.0073920026020863425,-0.0051462236559018494,0.005121405329555273,-3.1268269871943646e-05,0.00016444209111563684,0.012823497616315014,-0.009089695918373764,0.00904218761716038
