timestep,agent_1_vs_0_mean,agent_1_vs_0_variance,agent_1_vs_0_std_dev,agent_1_vs_0_q1,agent_1_vs_0_q3,agent_1_vs_1_mean,agent_1_vs_1_variance,agent_1_vs_1_std_dev,agent_1_vs_1_q1,agent_1_vs_1_q3,agent_1_vs_2_mean,agent_1_vs_2_variance,agent_1_vs_2_std_dev,agent_1_vs_2_q1,agent_1_vs_2_q3
0,-7.199382197577507e-05,0.00014242195520165898,0.011934067001724892,-0.00832809368148446,0.008298350032418966,-0.0002538891788768524,0.00017457400569860786,0.013212645673694873,-0.009410787373781204,0.008767148945480585,-0.00020845800422976028,0.00010492091454252802,0.010243091063859972,-0.0071884539211168885,0.0068843497429043055
1,-8.223069676605519e-05,0.00014089787390801436,0.011870041023855577,-0.008247741498053074,0.008057455386733636,-0.00025615107944504417,0.00016667233695420914,0.012910164094782418,-0.009290379704907537,0.008621580665931106,-0.00024195060213605757,0.00010032856505608727,0.010016414780553333,-0.007150795063353144,0.006685376167297363
2,-5.0639579489749576e-05,0.00013871945268160554,0.011777922256561449,-0.008124103498024246,0.008020136777001124,-0.00028200710348489033,0.00016068156651515136,0.012676023292624204,-0.009112553166535994,0.008446269785054028,-0.00023445410993153928,9.647013473291129e-05,0.009821921132492934,-0.0070088822006558376,0.006522333404670159
3,-4.752010215743212e-05,0.0001363260417610916,0.011675874346749866,-0.008114126889267936,0.008058778606937267,-0.0002964996637065269,0.00015691726937575124,0.012526662339815472,-0.008991987589979544,0.008335787279065698,-0.00022682656135548313,9.337169507057039e-05,0.009662903035349698,-0.006837602879386395,0.006472028166172095
4,-3.941567981557452e-05,0.0001327743444083896,0.011522775030711552,-0.007968260359484702,0.007990942697506397,-0.00030059783612894526,0.00015394630543824893,0.012407510041835507,-0.008965192502364517,0.008294447092339396,-0.00021551535132603025,9.037021171019113e-05,0.00950632482667151,-0.006804780289530754,0.006377768865786493
5,-2.2840975963044896e-05,0.00013279669819762905,0.011523744972778123,-0.0080832963809371,0.008081719651818274,-0.00029156578506743237,0.00015596367818530597,0.012488541875867894,-0.009058419009670617,0.008219980786088854,-0.00020511465365358165,8.863341518871483e-05,0.009414532127977196,-0.0066857983125373725,0.006298003951087594
6,3.5249929933342862e-06,0.00012984732550953227,0.011395057064777354,-0.008002351608593018,0.00805283379741013,-0.0002737663503173826,0.00015875617903990703,0.012599848373687163,-0.00898337154649198,0.008366477937670425,-0.0001713489898398984,8.703798563904655e-05,0.009329415074861154,-0.0065562337636947635,0.006250626588007435
7,8.10017158160915e-06,0.00012630275394566958,0.011238449801715074,-0.007997022103518247,0.007920133252628147,-0.00022339121029486703,0.0001622106450048407,0.012736194290479425,-0.009010166232474148,0.008583324705250561,-0.00015187169539567546,8.687617332890037e-05,0.009320738883205578,-0.006534667854430154,0.006288979924283921
8,2.1080638540734097e-05,0.0001222020442299748,0.011054503346146981,-0.007788031199015677,0.0077965368516743185,-0.0001791666873826034,0.00016452545479008772,0.012826747631028207,-0.00904979623737745,0.008613408985547721,-0.000122628983608447,8.659252998867992e-05,0.009305510732285463,-0.006631888565607369,0.006424439407419413
9,2.3854284510889602e-05,0.00011849002281414971,0.01088531225156861,-0.007606800575740635,0.007706598646473139,-0.0001324050307246216,0.00016596546361886141,0.012882758385488002,-0.008986218937207014,0.008670889574568718,-0.00010793386731646021,8.640303601184764e-05,0.009295323340898241,-0.00661692947614938,0.006416234979405999
10,2.8113223281980036e-05,0.00011549889203055174,0.010747041082574857,-0.0074898959835991265,0.007677656668238342,-0.00010468609657895285,0.00016629649929292238,0.012895599997399206,-0.009002663660794497,0.00864489150699228,-8.970802015450319e-05,8.65188260230425e-05,0.009301549657075562,-0.006575543305370957,0.006387856788933277
11,2.6878272883768715e-05,0.00011363435647013685,0.010659941672923771,-0.007361589837819338,0.007444400037638843,-7.432651328534123e-05,0.00016553392290236056,0.012865998713755593,-0.009102360642282292,0.008840098441578449,-7.878418054198846e-05,8.652213023782964e-05,0.009301727271739892,-0.006459704367443919,0.006365311983972788
12,1.789954791602212e-05,0.000112492960623424,0.010606269873212918,-0.00742228563176468,0.0074857454514130955,-7.369952014283626e-05,0.00016374735681813838,0.012796380613991536,-0.008994327834807336,0.008879869827069342,-5.6542814225540515e-05,8.596820766803336e-05,0.009271904209386192,-0.006476330745499581,0.006389404716901481
13,1.1277371619362416e-05,0.00011191130818624033,0.010578814120034453,-0.0073661351110786205,0.007480690476950258,-8.123628042201745e-05,0.00016160711010135712,0.01271247851920927,-0.008981814963044598,0.008917145105078817,-4.079232609306929e-05,8.539201386987283e-05,0.009240779938396587,-0.006483367027249188,0.006469803710933775
14,-1.6129577573156098e-06,0.00011161436025400571,0.010564769768149504,-0.007440489344298839,0.007452672999352217,-0.00010188377422848133,0.00015936777501474034,0.012624095017653358,-0.008987747482024133,0.008769196132197976,-1.9712282856635284e-05,8.464218187007891e-05,0.009200118579131408,-0.006379241257673129,0.00642487530130893
15,-1.5978599830123165e-05,0.00011149855408614462,0.010559287574744076,-0.007467241189442575,0.007314300001598895,-0.00013000564990725254,0.00015719444368753665,0.012537720833051621,-0.008941951277665793,0.008593609952367843,-1.5266783986589899e-06,8.39486253185076e-05,0.009162348242590847,-0.006380219128914177,0.006401262863073498
16,-4.2553122529934614e-05,0.00011140533105922048,0.01055487238479085,-0.007465396774932742,0.007311911089345813,-0.00016263686805425092,0.00015595290312947783,0.012488110470742875,-0.008996198163367808,0.008584685227833688,1.0758935964549868e-05,8.34504863343061e-05,0.009135123772248852,-0.006313060293905437,0.006370322010479867
17,-5.084062478505075e-05,0.00011131906719844349,0.010550785146065837,-0.007562052400317043,0.00728747594403103,-0.00017841174411310933,0.00015510443927692144,0.012454093273977092,-0.008981901430524885,0.008632164914160967,1.88716607243987e-05,8.304403358958765e-05,0.009112849915892814,-0.006253587407991291,0.0063317592954263095
18,-6.012246738449905e-05,0.00011129665681899012,0.010549723068355402,-0.0075673394370824095,0.007308924267999828,-0.0001825520210682589,0.00015471764310943107,0.012438554703398264,-0.008927050954662263,0.008589810179546476,2.5772781906998722e-05,8.267702907423326e-05,0.009092690969907273,-0.0062872775131836535,0.006391932303085924
19,-5.848859667166834e-05,0.00011130064729540019,0.010549912193729395,-0.007581141428090632,0.007364993449300528,-0.000178295427721896,0.00015462069083756823,0.012434656844383291,-0.008913598558865487,0.0086306584184058,3.147598981187911e-05,8.223660942344479e-05,0.009068440297175958,-0.006299276533536613,0.006377927400171756
20,-6.816054557508324e-05,0.0001114737609100585,0.0105581135109478,-0.007517607393674553,0.007334958948194981,-0.00016038583726156501,0.00015457075057073908,0.012432648574247527,-0.00904904983472079,0.008627812750637532,3.2317776324052815e-05,8.174296626691017e-05,0.009041181685316924,-0.006274278694763779,0.00634986485238187
21,-5.2926626209518865e-05,0.0001114842916734464,0.010558612203952109,-0.007569564727600664,0.007404703879728913,-0.00014118412785202962,0.00015479436422807696,0.012441638325722098,-0.00894984477199614,0.00865812118863687,4.820982500503306e-05,8.137557274823506e-05,0.009020841022223763,-0.006333908729720861,0.0063870102399960155
22,-5.7971962285519115e-05,0.00011137841067763299,0.010553597049235535,-0.007453641144093126,0.007485293666832149,-0.00012728846956248162,0.00015475897504293255,0.012440216036827196,-0.008953200397081673,0.008749344549141825,5.176189096149756e-05,8.115965780754381e-05,0.009008865511680359,-0.006285027577541769,0.006333788600750267
23,-5.550665278016821e-05,0.0001114331644779624,0.010556190812881434,-0.007500857790000737,0.007421808014623821,-0.00011412726118054705,0.00015465878920147905,0.012436188692741802,-0.008876599394716323,0.00876097078435123,4.914940076094353e-05,8.09236372895009e-05,0.008995756626849177,-0.006315413687843829,0.006322375079616905
24,-6.135110948613145e-05,0.00011135702773074039,0.010552583936209198,-0.007462701760232449,0.007363551273010671,-0.00010078087449175652,0.00015428760443325133,0.012421256153596195,-0.008869402413256467,0.008780628978274764,4.772161782748301e-05,8.086349349196818e-05,0.008992413107279279,-0.0062851598253473645,0.006276992720086127
