agent,timestep,mean,variance,std_dev,q1,q3,median,mad,diff_mean,diff_std
4,0,0.0016685450077056885,3.8106086606148883e-10,1.9520780365074775e-05,0.0016552731394767761,0.0016778036952018738,0.001666143536567688,1.1831521987915039e-05,0.0,0.0
4,1,0.00789074867963791,1.7041855168100641e-07,0.000412817818996475,0.007862482219934464,0.007980581372976303,0.007904201745986938,5.1394104957580566e-05,0.006222203671932221,0.00041400441851034605
4,2,0.0056667061646779385,7.576785149091671e-08,0.0002752596074452565,0.0056477511922518415,0.005728192627429962,0.005675211548805237,3.4650166829426794e-05,-0.0022240425149599712,0.00013757481492008444
4,3,0.006659935191273689,4.28837478432309e-08,0.00020708391497948578,0.0066393460147082806,0.006698707118630409,0.006671454757452011,3.0483119189739227e-05,0.0009932290265957514,7.120548562435717e-05
4,4,0.0073410656750202185,2.8761049798157403e-08,0.0001695908305249945,0.00732358954846859,0.0073767671361565585,0.007349541410803795,2.6908516883849924e-05,0.0006811304837465286,4.161503633231303e-05
4,5,0.0074278425276279435,2.9037284328919727e-08,0.00017040329905526985,0.007410523481667042,0.007462398149073124,0.007436553761363029,2.6307255029678085e-05,8.677685260772708e-05,5.222065395233426e-06
4,6,0.011881069600582123,1.2190944014755932e-07,0.000349155323813857,0.011787425726652145,0.011821872554719448,0.011804419755935668,1.717135310173e-05,0.004453227072954178,0.0003801682983494053
4,7,0.036972248449921606,2.1321847524200547e-07,0.0004617558610802958,0.0367338165640831,0.037186790443956855,0.03695993386209011,0.0002264123409986482,0.025091178849339486,0.00032340827841862536
4,8,0.0709243496209383,7.313938216238514e-07,0.0008552156579622776,0.07028190959244966,0.0714115297421813,0.07086303979158401,0.0005596674978733118,0.03395210117101669,0.0006917254744506808
4,9,0.07651703552901745,7.300703984771767e-07,0.0008544415711312136,0.07586106564849615,0.07698985561728477,0.07644554413855076,0.0005646038800478023,0.005592685908079147,1.8270716233778757e-05
4,10,0.08369986456632614,9.83994547384374e-07,0.000991964993023632,0.08294448032975198,0.08433088287711143,0.08358270712196827,0.0006940215826034546,0.0071828290373086925,0.0004611872218628003
4,11,0.08099194000661374,8.827261258459073e-07,0.0009395350583378501,0.08028865661472082,0.08156889230012894,0.08089397009462118,0.0006192246451973901,-0.0027079245597124097,0.00034726841851274597
4,12,0.05656052438914776,6.609727673826571e-07,0.0008130023169602022,0.05591686703264713,0.05700352154672146,0.05646561440080404,0.000550820492208004,-0.024431415617465976,0.00033459476353148713
4,13,0.026969537526369092,2.1812990773812342e-07,0.00046704379638115676,0.026751317642629148,0.026900753658264876,0.026826207898557185,7.514189928769892e-05,-0.029590986862778664,0.0006920121588816296
4,14,0.023701100237667562,2.1704848460389474e-07,0.0004658846258505369,0.023486307915300132,0.02363952752202749,0.023556727357208727,7.799956947565113e-05,-0.003268437288701534,9.361777668964285e-06
4,15,0.02169412766769528,3.157334950866391e-09,5.6190167741931425e-05,0.02165695196017623,0.021729132905602456,0.021690660156309605,3.572255373001168e-05,-0.002006972569972277,0.00046073489164743874
4,16,0.02410933232679963,2.8054582614291353e-09,5.2966576833217525e-05,0.024077925458550455,0.02414708584547043,0.024108828417956828,3.4977123141289104e-05,0.0024152046591043473,1.8580526068516855e-05
4,17,0.028529307670891287,5.611399381655904e-10,2.368839247744748e-05,0.028515052888542412,0.028542361594736575,0.028530577756464483,1.4444440603257613e-05,0.004419975344091653,4.877956968655583e-05
4,18,0.06317882665246724,5.1070704328432796e-08,0.00022598828360875878,0.06302580712363123,0.06327736964449286,0.06313211675733328,0.00011930316686629971,0.03464951898157597,0.00022377787198481393
4,19,0.14999336241185665,5.104785920958164e-08,0.00022593773303629838,0.14983897032216192,0.1500905486755073,0.14994662236422301,0.000120578333735466,0.08681453575938938,2.5007589754337014e-06
4,20,0.1505796208009124,5.1262038770393484e-08,0.00022641121608788176,0.1504291294142604,0.1506810050457716,0.15053415056318042,0.00011887848377226118,0.0005862583890557299,7.464849788807784e-06
4,21,0.22301377911120654,0.002092140201766282,0.045739919127238106,0.16463479362428188,0.2588427893817425,0.2586600873619318,0.00031454786658288714,0.07243415831029415,0.045732681119883836
4,22,0.22735929278656844,0.0020919448600069976,0.04573778372425797,0.16895348550751804,0.263185372762382,0.26299638021737337,0.00029735472053288303,0.004345513675361869,4.5885133942439434e-05
4,23,0.19231151491031048,0.002087565082793404,0.04568987943509376,0.1339988285675645,0.22807429907843468,0.2279782658442855,0.00024262890219688138,-0.03504777787625791,0.00029645606308485446
4,24,0.20825563943013548,0.002087549778977181,0.04568971195988415,0.1499418655410409,0.24401967311277986,0.2439233737066388,0.0002420525997877121,0.01594412451982498,1.924295555702431e-06
