agent,timestep,mean,variance,std_dev,q1,q3
2,0,0.026284226297447456,0.007901402239600439,0.0888898320371933,0.000992894172668457,0.015300067141652107
2,1,0.02400206697122194,0.005278424094431897,0.07265276384578839,0.0010371729731559753,0.013504560105502605
2,2,0.02185592193733901,0.003999762346276266,0.06324367435780645,0.001084422692656517,0.011805722257122397
2,3,0.019537474626197947,0.002926658809253216,0.05409860265527397,0.0011305389925837517,0.010646797076333314
2,4,0.017458260689033195,0.0021965588964559177,0.046867460955933145,0.0011683568358421327,0.009708491992205382
2,5,0.013467166392598302,0.0015157787139771979,0.03893300288928659,0.0010147251188755036,0.007320520002394915
2,6,0.010024704759083689,0.0009346931314957199,0.030572751454452377,0.0009318910539150238,0.0055715362541377544
2,7,0.0072017368486337364,0.0005547426713098602,0.02355297584828423,0.0008864216506481171,0.004357705079019069
2,8,0.005289274657974019,0.0003260651563520028,0.018057274333409316,0.000844564288854599,0.0036083647049963475
2,9,0.004067937879422679,0.00018533202738683693,0.013613670606667289,0.0008367549628019333,0.0031548188067972664
2,10,0.0033193150771502404,0.00010407240883928888,0.010201588544892844,0.000823391228914261,0.0029436105862259863
2,11,0.0030099055326171216,7.74666646766276e-05,0.008801514908050069,0.0008032359182834625,0.002760053239762783
2,12,0.002850292227873579,6.534788019658338e-05,0.008083803572365138,0.000798971951007843,0.00269350316375494
2,13,0.002752369626937434,6.561262853882591e-05,0.008100162253858,0.0007894068956375122,0.0026034091133624315
2,14,0.002618956934576854,6.409547038429902e-05,0.008005964675434124,0.000777669996023178,0.0025065023452043532
2,15,0.0025822079650964585,7.015503877564751e-05,0.008375860479714756,0.0007628560066223145,0.0023905331268906592
2,16,0.0024450731510762126,5.8195698084213185e-05,0.007628610494986173,0.0007442157715559006,0.002326042577624321
2,17,0.0024202485462464394,6.60917757888983e-05,0.008129684851757682,0.0007219977676868438,0.0022520333528518676
2,18,0.0023829866128694268,7.167640672536181e-05,0.008466191984910443,0.0007115654647350311,0.0021635898388922214
2,19,0.0023655615652818235,7.340206655878913e-05,0.008567500601621755,0.0007018566131591797,0.0021051976829767225
2,20,0.002303306859754957,7.156440859144413e-05,0.008459574965176686,0.0006920292973518372,0.0020909909158945083
2,21,0.0023046154542127623,7.675417047093478e-05,0.008760945752082635,0.0006914224475622177,0.0020365831442177296
2,22,0.002184983300459571,5.9954218179047625e-05,0.0077430109246369805,0.0006819866597652435,0.001977141760289669
2,23,0.002099588477811776,5.3778619662930484e-05,0.007333390734369095,0.0006789542734622956,0.0019228048622608185
2,24,0.0020545167601527647,5.275998772674647e-05,0.0072636070740883605,0.0006640125066041946,0.0019147321581840515
