cluster_id,agent_i,agent_j,mean,std,var,q1,q3,count,cluster_size
0,0,0,0.0043800137434147025,0.019736654146628257,0.0003895355169036184,-0.010584996081888676,0.019134325440973043,2412,2412
0,0,1,0.00019422948467977667,0.008358949921132626,6.987204378400313e-05,-0.006036766804754734,0.00571862468495965,2412,2412
0,0,2,0.00029234752064002413,0.008718236708690938,7.600765130876619e-05,-0.005802426370792091,0.006450395565479994,2412,2412
0,1,0,0.00019422950362381225,0.008358949962416429,6.987204447418162e-05,-0.0060367651749402285,0.005718626081943512,2412,2412
0,1,1,-0.01645269673771483,0.0213728921453983,0.0004568005186588282,-0.03203148115426302,-0.0023344464716501534,2412,2412
0,1,2,-0.005546775092810986,0.010857277884663273,0.00011788048306479821,-0.013781500747427344,0.0022883685305714607,2412,2412
0,2,0,0.0002923475778341188,0.00871823686761098,7.600765407977131e-05,-0.005802422063425183,0.006450398010201752,2412,2412
0,2,1,-0.005546775189558296,0.010857277951883192,0.00011788048452444887,-0.01378149795345962,0.0022883686469867826,2412,2412
0,2,2,0.007230066424783028,0.01792960347121451,0.0003214706806349874,-0.005839024670422077,0.020667497534304857,2412,2412
1,0,0,-0.003057712923329661,0.01647843347248817,0.0002715387697072186,-0.014679276617243886,0.008515995927155018,1678,1678
1,0,1,-0.003538240362282041,0.007776944081635403,6.048085924888393e-05,-0.009177682921290398,0.0020726503571495414,1678,1678
1,0,2,0.0029088031181164257,0.009526734113560779,9.07586628704827e-05,-0.00418323278427124,0.01018602424301207,1678,1678
1,1,0,-0.003538240477483258,0.007776944154214951,6.048086037777809e-05,-0.009177687345072627,0.0020726495422422886,1678,1678
1,1,1,0.007749632933980167,0.021640151873381457,0.00046829617310301493,-0.007233974640257657,0.02444635285064578,1678,1678
1,1,2,0.004120240181029433,0.012294545916429951,0.0001511558592912044,-0.005274152033962309,0.013730476144701242,1678,1678
1,2,0,0.0029088030987254347,0.009526734234965745,9.075866518366837e-05,-0.004183231620118022,0.010186021914705634,1678,1678
1,2,1,0.004120240262027578,0.01229454596675878,0.00015115586052874457,-0.0052741499384865165,0.013730471022427082,1678,1678
1,2,2,0.006596274989432598,0.018153712742903817,0.00032955728635186845,-0.006476794951595366,0.01955470023676753,1678,1678
2,0,0,-0.004191388076938266,0.013120520140991162,0.00017214804877015472,-0.012150277383625507,0.003250048670452088,2116,2116
2,0,1,-0.003917121982417544,0.007015192206238277,4.921292169046627e-05,-0.008530828170478344,0.0006520045862998813,2116,2116
2,0,2,0.00419386818462878,0.008132729874361,6.614129520932388e-05,-0.0006476980342995375,0.009684283286333084,2116,2116
2,1,0,-0.003917122036547093,0.007015192253479082,4.921292235327293e-05,-0.008530825609341264,0.0006519994349218905,2116,2116
2,1,1,-0.004329131981195083,0.013713779818510283,0.0001880677569105799,-0.013522336026653647,0.003667173266876489,2116,2116
2,1,2,-0.0014550585610382057,0.007487043501552662,5.605582039414195e-05,-0.006270195357501507,0.003160346415825188,2116,2116
2,2,0,0.004193868296670275,0.00813272984601372,6.614129474824232e-05,-0.0006476966664195061,0.009684286778792739,2116,2116
2,2,1,-0.0014550587380337834,0.0074870435591208855,5.605582125617353e-05,-0.006270197802223265,0.003160346474032849,2116,2116
2,2,2,-0.005978468617476965,0.012330344994127428,0.0001520374076742033,-0.014661555178463459,0.002316802623681724,2116,2116
3,0,0,0.015689166447273473,0.014012940739949359,0.0001963625081813325,0.005854993127286434,0.02485063672065735,2433,2433
3,0,1,-0.004857082611498313,0.006212363725414142,3.8593463056841475e-05,-0.009020576253533363,-0.0009856285760179162,2433,2433
3,0,2,-0.011522641322900687,0.009050457701449861,8.191078460573312e-05,-0.017583385109901428,-0.00531280692666769,2433,2433
3,1,0,-0.004857082567310253,0.006212363787121175,3.859346382353455e-05,-0.009020579978823662,-0.000985628692433238,2433,2433
3,1,1,0.031797326128997605,0.01696966342615774,0.0002879694767970756,0.019341588020324707,0.044378798454999924,2433,2433
3,1,2,0.003946212094563852,0.010201328990536199,0.00010406711317315431,-0.003115118481218815,0.011761274188756943,2433,2433
3,2,0,-0.011522641321118332,0.009050457736171993,8.191078523423548e-05,-0.01758338324725628,-0.005312811117619276,2433,2433
3,2,1,0.003946212113248678,0.010201328877008602,0.00010406711085688958,-0.0031151166185736656,0.011761276051402092,2433,2433
3,2,2,0.012346713334051919,0.015542473914683524,0.0002415684953886178,0.0011401446536183357,0.023540031164884567,2433,2433
4,0,0,0.00780053894882142,0.0121421638718317,0.00014743214349041496,1.4745979569852352e-05,0.014774048700928688,2239,2239
4,0,1,-0.0011249087145203678,0.0061110014752836115,3.734433903091847e-05,-0.005208625458180904,0.002782643656246364,2239,2239
4,0,2,-0.013489349022362707,0.008354298042559263,6.979429578390952e-05,-0.019365692511200905,-0.0082514937967062,2239,2239
4,1,0,-0.0011249085608121072,0.006111001394243171,3.734433804044197e-05,-0.005208628252148628,0.002782646333798766,2239,2239
4,1,1,0.02581155735582559,0.015786940626792655,0.00024922749435387644,0.014703018590807915,0.03734569251537323,2239,2239
4,1,2,-2.9698475351623273e-05,0.00991458197191347,9.82989356777916e-05,-0.007352007087320089,0.007302404381334782,2239,2239
4,2,0,-0.0134893490628273,0.008354297926071468,6.979429383756202e-05,-0.019365688785910606,-0.0082514937967062,2239,2239
4,2,1,-2.969859235838069e-05,0.009914581775622886,9.829893178551347e-05,-0.007352013839408755,0.00730240298435092,2239,2239
4,2,2,0.01209472405875843,0.013249532845017746,0.00017555012061120406,0.0023513835621997714,0.021423550322651863,2239,2239
