cluster_id,agent_id,mean,std,var,q1,q3,count,cluster_size
0,0,0.02918847645714008,0.08378482651832982,0.007019897154706623,0.0014558769762516022,0.025365090928971767,2412,2412
0,1,0.025947093838133893,0.07037732863224469,0.004952968385410969,0.0016411636024713516,0.02458985848352313,2412,2412
0,2,0.02559366922595447,0.07058716260855928,0.00498254752512719,0.0015114154666662216,0.02559019159525633,2412,2412
1,0,0.025619290932275898,0.0713394530260956,0.005089317558062499,0.0005434900522232056,0.025747673120349646,1678,1678
1,1,0.02741173157663805,0.08170835542368582,0.0066762553460433674,0.0008927062153816223,0.026089129969477654,1678,1678
1,2,0.024524092602102848,0.0643088589470684,0.00413562933907394,0.0007187426090240479,0.026072824839502573,1678,1678
2,0,0.02719741112100126,0.07801012640703406,0.006085579822041433,0.0013021491467952728,0.025561568327248096,2116,2116
2,1,0.02613017724744187,0.07914850431072158,0.006264485734624314,0.001255858689546585,0.022748655639588833,2116,2116
2,2,0.025922754110895195,0.07579832907586428,0.005745386690693012,0.0013382993638515472,0.02475843857973814,2116,2116
3,0,0.031021115622734685,0.08555604350777868,0.007319836580704918,0.0016994625329971313,0.024764249101281166,2433,2433
3,1,0.02275081784772563,0.06901498272186181,0.004763067840098884,0.0013376027345657349,0.02334018237888813,2433,2433
3,2,0.02614560655685294,0.06936901106775159,0.004812059696517842,0.0014904886484146118,0.025641197338700294,2433,2433
4,0,0.03198095909583949,0.08482748509982936,0.007195702228361773,0.0022688619792461395,0.025378449819982052,2239,2239
4,1,0.028966714395314137,0.08099857343502033,0.00656076889850838,0.0017517954111099243,0.025517666712403297,2239,2239
4,2,0.027082232066046225,0.07727253564122269,0.00597104476442403,0.0014707297086715698,0.025474567897617817,2239,2239
5,0,0.029170461359596656,0.08208217426645699,0.0067374833323090135,0.0014580562710762024,0.026514660101383924,3306,3306
5,1,0.029324908160643412,0.0819266826148189,0.00671198132426927,0.0015886276960372925,0.025721578393131495,3306,3306
5,2,0.02708930533682996,0.07414149534211845,0.005496961331565372,0.001584446057677269,0.026035482063889503,3306,3306
6,0,0.026282684536787067,0.07441135422698072,0.005537049637893203,0.001260511577129364,0.024615743197500706,2214,2214
6,1,0.02909878422207491,0.08638310831634093,0.007462041402392688,0.0013515651226043701,0.025153106544166803,2214,2214
6,2,0.02698902926422898,0.07403915642931617,0.005481796684764751,0.001989642158150673,0.02446607081219554,2214,2214
7,0,0.02768762149068616,0.07326078663712643,0.005367142858690562,0.0015964657068252563,0.025814211927354336,3127,3127
7,1,0.02968513003406319,0.08035547794426234,0.006457002835650831,0.0016635283827781677,0.025507512502372265,3127,3127
7,2,0.027553519693319126,0.08305375701243992,0.006897926553881413,0.0012404322624206543,0.02421484887599945,3127,3127
8,0,0.028650372213396075,0.07496317608995137,0.005619477769493057,0.0014453381299972534,0.025466399267315865,2429,2429
8,1,0.02835074703839058,0.07951633085728353,0.006322846873004982,0.0015668869018554688,0.024565337225794792,2429,2429
8,2,0.024304686426869473,0.06826550314685591,0.004660178919893393,0.0014740228652954102,0.024559838697314262,2429,2429
9,0,0.02923702751322793,0.08474466142797672,0.007181657640542407,0.0017575696110725403,0.024916724301874638,2554,2554
9,1,0.027416181501173236,0.07824982913423485,0.0061230357595369505,0.0013090483844280243,0.02480244729667902,2554,2554
9,2,0.028026522529955456,0.07293456484831086,0.005319450749612461,0.0019218437373638153,0.02495021466165781,2554,2554
10,0,0.028355267083613765,0.0751298136910683,0.005644488905254634,0.0016666874289512634,0.02607731707394123,2755,2755
10,1,0.03032711989444067,0.07994979167410045,0.006391969188732061,0.001704871654510498,0.02601349912583828,2755,2755
10,2,0.030245700447453346,0.08476316558598565,0.007184794240157222,0.0013315752148628235,0.02453783620148897,2755,2755
11,0,0.02992840371173776,0.079678739063443,0.006348701458740238,0.0015429854393005371,0.026019280776381493,2295,2295
11,1,0.028698933586957083,0.08211620716117447,0.006743071478536922,0.0015524886548519135,0.025821602903306484,2295,2295
11,2,0.027896488636269482,0.07703235314562117,0.00593398343115169,0.0013310611248016357,0.023845873773097992,2295,2295
12,0,0.025178464155520806,0.07750823132617485,0.006007525923311831,0.0012251213192939758,0.024445324670523405,2476,2476
12,1,0.02588544996652409,0.07591779472421012,0.005763511555787305,0.0012769699096679688,0.02406570455059409,2476,2476
12,2,0.027023738368244326,0.07476684329093727,0.005590080855691571,0.0015102513134479523,0.02496025338768959,2476,2476
13,0,0.02718399467153282,0.08152119726594682,0.006645705603673416,0.001265455037355423,0.024897910188883543,2588,2588
13,1,0.02730585953177182,0.08029109566908738,0.006446660043742541,0.0014339201152324677,0.024431008379906416,2588,2588
