agent,timestep,mean,variance,std_dev,q1,q3,median,mad,diff_mean,diff_std
4,0,0.2018755439603934,0.14618451546973565,0.38234083678013736,0.0008610934019088745,0.13531728088855743,0.03365334868431091,0.03365334868431091,0.0,0.0
4,1,0.19350945040515216,0.08692233673527117,0.2948259431177507,0.01441790908575058,0.2762761751655489,0.0419028215110302,0.0419028215110302,-0.016732187110482483,0.4475606301316826
4,2,0.1914402276189319,0.06759208017380788,0.2599847691189003,0.020993427839130163,0.2959781338771184,0.06553941778838634,0.06553941778838634,0.002158425196580356,0.37308465533628216
4,3,0.19159810702499672,0.05928391087169283,0.2434828759311275,0.027281828690320253,0.30860570888035,0.09022517781704664,0.08939048182219267,0.0047699631966999735,0.3429407383982599
4,4,0.19365558225851154,0.053887509949955247,0.23213683453936226,0.03082539653405547,0.30629884004592894,0.10569817125797272,0.09871058873832227,0.00981373794937972,0.34612207062657147
4,5,0.1954373801625811,0.06167437595612484,0.24834326235298762,0.03027677156496793,0.2988088965415955,0.10036265328526497,0.0914557881653309,0.00889905028817011,0.3429711897236997
4,6,0.19947186035837977,0.06701946413847257,0.2588811776442478,0.025851108785718682,0.2990700425580144,0.0964309673756361,0.08843077030032873,-0.005468775651836768,0.3246354120046676
4,7,0.20260895498189144,0.07186130366260242,0.26806958735112496,0.02389108813367784,0.3050604283809662,0.09535962343215942,0.08657530844211578,-0.00232850266485475,0.31298867617210313
4,8,0.20675299740177117,0.07369942945099715,0.27147638838579896,0.02529278416186571,0.3131173279136419,0.0979901559650898,0.08833891823887825,0.009804702178540174,0.32961003241353143
4,9,0.2111645815299498,0.07239205823903548,0.26905772287566004,0.026287158299237487,0.3265580297447741,0.10182625651359559,0.09176056496798993,0.011151446490874514,0.3362558276294755
4,10,0.2135935997690956,0.07006093692664665,0.26469026602171575,0.026799351908266544,0.33743579871952534,0.10686010597273707,0.0960244751535356,-0.0010137791569941328,0.33108147869609955
